metric,value
accuracy,0.9259259259259259
auPRC,0.23858710662301658
auROC,0.7285714285714285
auROC50,0.3242857142857143
log.loss,0.3450340773693468
pearson.p,0.0003137740490729322
pearson.r,0.2593483030796051
recall_at_10_fdr,0.07142857142857142
recall_at_5_fdr,0.07142857142857142
spearman.p,0.004195098276992113
spearman.r,0.20736739008928817
train_time,193.17910699198643
