metric,value
accuracy,0.9259259259259259
auPRC,0.3109918932728871
auROC,0.6775510204081633
auROC50,0.3757142857142857
log.loss,0.3668493541775557
pearson.p,3.907475900733107e-06
pearson.r,0.3285910487174988
recall_at_10_fdr,0.14285714285714285
recall_at_5_fdr,0.14285714285714285
spearman.p,0.02680997827683197
spearman.r,0.1610800262300721
train_time,136.98014887551156
