metric,value
accuracy,0.9259259259259259
auPRC,0.25034206667092945
auROC,0.6857142857142857
auROC50,0.3942857142857143
log.loss,0.33930241754130713
pearson.p,0.005351449647512795
pearson.r,0.2018345594406128
recall_at_10_fdr,0.07142857142857142
recall_at_5_fdr,0.07142857142857142
spearman.p,0.020475027996758943
spearman.r,0.1684860793184855
train_time,176.31634653916893
