metric,value
accuracy,0.6
auPRC,0.3430720643520566
auROC,0.30208333333333337
auROC50,0.3020833333333333
log.loss,0.9387430094182492
pearson.p,0.34812964686454606
pearson.r,-0.22143039107322693
recall_at_10_fdr,0.0
recall_at_5_fdr,0.0
spearman.p,0.14712931074783023
spearman.r,-0.33629635456727464
train_time,2.16732046129182
